name,term,category,credits,dayOfWeek,period,location,isCompulsory,description,learningObjectives
3DCG概論,４期,講義,1,水曜日,２時限,古町ルフルキャンパス,選択,本科目は、３ＤＣＧ科目の導入科目として、先進技術を応用した作品例を概観し、常に進化を遂げ、自動化の留まる事を知らないコンピュータ・グラフィックス・アプリケーションとの創造的なかかわり方について考察する。また、そもそものコンピュータ・グラフィクスの種類と描画方式、およびその効果をについても概観し、各々の描画方式、ツールによる得意な表現、苦手な表現を理解し、目的に応じたツールの選択が出来る事を目的とする。,１）ＣＧの基本的な専門用語を学ぶ。２）ＣＧツールを支える理論を知ることで、既存ツールの限界を知り、既存ツールを超える表現をも模索できる知識をつける。３）最先端技術を現場に落とし込む知識をつける。
3DCGソフト演習Ⅰ,１期２期,演習,4,木曜日,４時限,古町ルフルキャンパス,選択,この科目は３ＤＣＧソフトを使用し、主にキャラクターモデリングの基礎を学修する。ゲームおよび映像キャラクターデザインの就活で役立ち、将来的に、３ＤＣＧが主流となっている海外アニメーション業界を希望する学生にとっても進路選択上、非常に重要なスキルとなる。企業によって標準ソフトは異なるが、基本概念は同様である。ここではゲーム業界およびアニメーション業界でメインツールとなっているソフトを使用し、キャラクターモデリングを学修する。,1.各ソフトの基本操作を習得する2.制作を行いながら立体的に物をとらえる力や観察力を鍛える3.自身や他者の制作について客観的に考える力やコミュニケーション能力を身につける
3DCGソフト演習Ⅱ,３期,演習,2,金曜日,４時限,古町ルフルキャンパス,選択,アニメ、マンガ、キャラクターデザイン、イラスト、ゲーム等で業界の境界が曖昧になっている現在、業界から求められるのはマルチな対応力を持った付加価値人材であり、３ＤＣＧはその最たる技術と言える。この科目は「３ＤＣＧ演習Ⅰ」で修得したモデリング技術を応用し、３ＤＣＧアニメーションの作成プロセスを学修する。「３ＤＣＧ演習Ⅰ」で学修したモデリング技術を使い、関節を意識したモデルの作成、アニメーション付け、カメラ設定、照明設定を学修し、レンダリングによる動くポートフォリオを制作するまでの工程を学修する。,1.各ソフトの基本操作を習得する2.キャラクターの性別や性格などの個性、重心やバランスなどの要点を押さえ、リアリティのある魅力的なキャラクターポーズのつけ方を習得する3.基本の構図やカメラワークを学び、演出から考えたレイアウトやポーズをつける
AI・データリテラシー,３期４期,講義,2,水曜日,５時限,米山キャンパス,選択,近年，AI・ビッグデータの産業・ビジネスに対する影響力は大変大きく，その正しい理解が不可欠である．本科目は，AI・データの利活用のされ方と基礎となっている技術，AIとデータを実際に活用する上での基本的なリテラシー，AIとデータにおける倫理・セキュリティ・プライバシーの留意事項，を学ぶことを目的とする．また，本科目は，文科省による「数理・データサイエンス・AI教育プログラム（リテラシーレベル）」のモデルカリキュラムに従っており，単位を習得した場合，リテラシーレベルを満たしたことが認証され，その証明となる修了証を受けることとなる．,1. 社会における，AIとデータの活用のされ方，AIとデータの活用のための基本技術を理解すること．2. AIを身近な課題解決に活用することができ，データやグラフを読み，ばらつきや相関などの性質を理解し，説明できる基本的なデータリテラシーが身に付くこと．3. AIとデータを活用する上で，留意すべき倫理的な課題，法制度，セキュリティやプライバシー上の脅威についての概要を理解すること．
AI・データリテラシー,３期４期,講義,2,水曜日,５時限,古町ルフルキャンパス,選択,近年，AI・ビッグデータの産業・ビジネスに対する影響力は大変大きく，その正しい理解が不可欠である．本科目は，AI・データの利活用のされ方と基礎となっている技術，AIとデータを実際に活用する上での基本的なリテラシー，AIとデータにおける倫理・セキュリティ・プライバシーの留意事項，を学ぶことを目的とする．また，本科目は，文科省による「数理・データサイエンス・AI教育プログラム（リテラシーレベル）」のモデルカリキュラムに従っており，単位を習得した場合，リテラシーレベルを満たしたことが認証され，その証明となる修了証を受けることとなる．,1. 社会における，AIとデータの活用のされ方，AIとデータの活用のための基本技術を理解すること．2. AIを身近な課題解決に活用することができ，データやグラフを読み，ばらつきや相関などの性質を理解し，説明できる基本的なデータリテラシーが身に付くこと．3. AIとデータを活用する上で，留意すべき倫理的な課題，法制度，セキュリティやプライバシー上の脅威についての概要を理解すること．
API実習,４期,実習,2,月曜日,１時限,米山キャンパス,選択,"   企業における業務改善やデジタル化の過程で、WebフレームワークやAPIを活用するニーズはとても高い。そこで本科目では、身近な問題や社会課題解決の実用的な手段としてWeb API技術の基本をマスターし、自分で考えたアイディア（要件定義）、アプリケーション設計～実装まで実践的な技術習得に取り組む。 具体的には、APIにかかる取り決め、トランスポートHTTP(TCP/UDP)上のメッセージフォーマットJSON/XMLのプロトコル、リクエスト/レスポンスから、セキュリティ技術（AAA,CORS,脆弱性対策）、RESTful, GraphQL, OpenAPI、他APIとの連携、ユーザ視点・提供者視点双方にとって付加価値の高いI/Ｆデザインについて実践的実習を通して確実に定着させる。 臨地実務実習においてAPI技術を自在に適用して、タイムリーな企業貢献を目指す。",1.  WebAPIの諸概念、JSON/HTTP等、セキュリティにかかる技術用語をひととおり理解し、自分のスキルとして消化吸収して、説明できる2.  具体的なアプリケーション・サービスの要件を分析し、WebAPI設計思想に即して適切なI/F、リクエスト・レスポンスのデザインについて提言・説明できる3.  上記のスキルを活用して、実際のAPI設計と実装に取り組み、自ら考えた仕様・デザインをWebフレームワークや動くAPIを試作し、動作確認と検証作業ができる4.  サーバとクライアント両サイドの開発・検証環境と粘り強く対話する過程を経て、数多くのエラーや例外に接しながら、最終的なコーディング結果と動作検証結果をレポートにまとめて報告できる
DTPソフト理論および基礎演習A,１期,演習,2,火曜日,１時限,古町ルフルキャンパス,,コンテンツ産業のクリエイターが制作するカットイラスト、アニメキャラクター、その他のイラストレーションなどの制作物は、あくまで素材に過ぎず、デザインプロセスによる編集・加工・情報の整理を施されて初めて、製品として世に出ていくことについて理解するとともに、初歩的なグラフィックデザインについて学修し、情報整理の手法から基本ツールの修得までを学修する。,1. 印刷の基礎知識と、DTPのワークフローを理解している2. DTP/デザインツール使用技術の修得3. デザインワークの楽しさに触れる
DTPソフト理論および基礎演習B,１期,演習,2,木曜日,１時限,古町ルフルキャンパス,必修,コンテンツ産業のクリエイターが制作するカットイラスト、アニメキャラクター、その他のイラストレーションなどの制作物は、あくまで素材に過ぎず、デザインプロセスによる編集・加工・情報の整理を施されて初めて、製品として世に出ていくことについて理解するとともに、初歩的なグラフィックデザインについて学修し、情報整理の手法から基本ツールの修得までを学修する。,1. 印刷の基礎知識と、DTPのワークフローを理解している2. DTP/デザインツール使用技術の修得3. デザインワークの楽しさに触れる
DTPソフト入門A,４期,演習,1,火曜日,２時限,古町ルフルキャンパス,必修,コンテンツ産業のクリエイターが制作するカットイラスト、アニメキャラクター、その他のイラストレーションなどの制作物は、あくまで素材に過ぎず、デザインプロセスによる編集・加工・情報の整理を施されて初めて、製品として世に出ていくことについて理解するとともに、初歩的なグラフィックデザインについて学修し、情報整理の手法から基本ツールの修得までを学修する。,1. 印刷の基礎知識と、DTPのワークフローを理解している2. DTP/デザインツール使用技術の修得3. デザインワークの楽しさに触れる
DTPソフト入門B,４期,演習,1,火曜日,１時限,古町ルフルキャンパス,必修,コンテンツ産業のクリエイターが制作するカットイラスト、アニメキャラクター、その他のイラストレーションなどの制作物は、あくまで素材に過ぎず、デザインプロセスによる編集・加工・情報の整理を施されて初めて、製品として世に出ていくことについて理解するとともに、初歩的なグラフィックデザインについて学修し、情報整理の手法から基本ツールの修得までを学修する。,1. 印刷の基礎知識と、DTPのワークフローを理解している2. DTP/デザインツール使用技術の修得3. デザインワークの楽しさに触れる
